rShldrBend,rForearmBend,rHand,lShldrBend,lForearmBend,lHand,rThighBend,rShin,rFoot,lThighBend,lShin,lFoot,head,spine,score,pose
48.4417,32.10914,25.72799,48.2087,39.0421,23.00953,6.876111,52.12382,100,6.702749,49.42534,97.82375,73.34442,0,0.829666,stand
47.63394,31.3353,24.49273,47.50296,38.04888,22.51083,6.680192,53.04853,100,6.185404,49.96852,97.26473,72.35883,0,0.8152756,stand
47.31337,31.08056,23.74577,47.13172,37.49342,22.34189,6.603875,53.51567,100,5.929266,50.28345,97.19622,71.86878,0,0.8133321,stand
47.23034,30.9535,23.59023,47.0181,37.35052,22.3877,6.66143,53.64117,100,5.839869,50.36322,96.99613,71.5534,0,0.8171229,stand
47.2027,30.84835,23.5735,46.99997,37.27524,22.42151,6.711957,53.594,100,5.802846,50.38551,96.83222,71.39243,0,0.8153276,stand
47.12172,30.66995,23.52643,46.94983,37.16632,22.49759,6.700515,53.51458,100,5.826422,50.49556,96.91856,71.32822,0,0.8124059,stand
46.99406,30.54776,23.4167,46.98055,37.08989,22.4816,6.672874,53.55511,100,5.824891,50.64863,97.03709,71.42046,0,0.8112154,stand
46.90635,30.50779,23.35803,46.95523,37.02942,22.33855,6.645262,53.57413,100,5.834515,50.73185,97.05721,71.38697,0,0.8121991,stand
46.82609,30.30925,23.3576,46.90093,37.06179,22.35426,6.648277,53.51606,100,5.862509,50.75983,97.03986,71.34981,0,0.8128147,stand
46.99854,30.35893,23.52869,46.89106,37.16021,22.433,6.715095,53.41484,100,5.906552,50.71167,97.15057,71.33645,0,0.8162464,stand
47.24001,30.47381,24.01477,47.02323,37.32309,22.7287,6.799096,53.33018,100,5.964435,50.59856,97.25706,71.50986,0,0.8121309,stand
47.68193,30.78627,24.62476,47.4374,37.89104,23.25107,7.042088,53.38894,100,6.142467,50.64738,97.69306,71.90121,0,0.8174261,stand
47.95675,31.1263,25.00596,47.67323,38.08341,23.57004,7.153887,53.53291,100,6.256909,50.72512,97.94793,72.15834,0,0.8125768,stand
48.14883,31.27006,25.4873,47.80685,38.1014,23.6656,7.159638,53.61346,100,6.284996,50.815,98.11706,72.31641,0,0.8102889,stand
48.15688,31.1996,25.79244,47.90102,38.12563,23.64605,7.138773,53.69335,100,6.316047,50.89751,98.07357,72.6073,0,0.8091466,stand
48.20173,31.14067,25.80556,47.92447,38.25547,23.56806,7.147265,53.67475,100,6.356737,50.871,97.87411,72.71606,0,0.8116207,stand
48.36418,31.2022,25.89528,47.88947,38.43155,23.45225,7.169356,53.69509,100,6.379891,50.85505,97.85046,72.67236,0,0.8122918,stand
48.54579,31.37701,25.88684,48.08731,38.68719,23.43096,7.217062,53.85162,100,6.373565,50.84953,97.93288,72.72366,0,0.814072,stand
48.67708,31.23733,25.39399,48.36798,38.95552,23.36857,7.301035,53.80399,100,6.403427,50.74078,98.06481,72.87063,0,0.8187208,stand
48.7594,31.1753,25.11343,48.54543,39.14384,23.33179,7.358792,53.76147,100,6.422496,50.66549,98.1197,72.97907,0,0.8194727,stand
48.55797,30.98086,24.71055,48.33451,38.91927,23.14006,7.360383,53.37741,100,6.399614,50.40878,97.66668,72.64904,0,0.8201855,stand
48.46618,30.92245,24.43259,48.23832,38.8218,23.11847,7.409769,53.2584,100,6.41461,50.30832,97.46545,72.4993,0,0.8210321,stand
48.27571,30.75697,24.02633,48.02399,38.58431,22.95126,7.359696,53.36826,100,6.356943,50.39295,97.52529,72.32243,0,0.8225978,stand
48.20771,30.72122,23.77615,47.92099,38.55526,22.76473,7.328831,53.42263,100,6.304057,50.41001,97.47701,72.37078,0,0.82034,stand
48.0989,30.6786,23.75718,47.71112,38.38264,22.68306,7.328624,53.55159,100,6.256958,50.40837,97.42509,72.33993,0,0.8194074,stand
